Hari ke-,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,PM2.5_5,PM2.5_6,PM2.5_7,PM2.5_8,PM2.5_9,PM2.5_10,PM2.5_11,PM2.5_12,PM10_1,PM10_2,PM10_3,PM10_4,PM10_5,PM10_6,PM10_7,PM10_8,PM10_9,PM10_10,PM10_11,PM10_12,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8,CO_9,CO_10,CO_11,CO_12,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO2_8,NO2_9,NO2_10,NO2_11,NO2_12,SO2_1,SO2_2,SO2_3,SO2_4,SO2_5,SO2_6,SO2_7,SO2_8,SO2_9,SO2_10,SO2_11,SO2_12,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,O3_7,O3_8,O3_9,O3_10,O3_11,O3_12,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,Pb_1,Pb_2,Pb_3,Pb_4,Pb_5,Pb_6,Pb_7,Pb_8,Pb_9,Pb_10,Pb_11,Pb_12
195,35.20,28.62,35.00,33.46,42.06,36.68,9.90,10.02,29.93,16.46,13.46,25.37,99.54,85.34,99.06,92.72,116.04,104.18,32.91,31.11,83.43,51.84,44.55,72.48,"6,061.39","5,334.54","5,991.23","5,781.69","6,721.26","6,150.80","2,552.99","2,544.63","5,334.64","4,099.63","3,538.47","4,980.98",141.75,119.48,138.13,133.41,162.62,144.00,53.09,50.87,119.36,86.04,69.76,107.76,119.18,93.66,115.31,106.38,138.28,120.98,33.83,32.91,94.81,55.58,46.82,83.18,176.47,158.44,178.27,172.34,198.75,179.48,79.38,78.22,160.96,123.85,105.99,146.60,72.72,63.78,72.99,68.74,82.47,74.53,29.74,28.00,63.28,46.07,39.96,57.86,0.75,0.66,0.75,0.71,0.83,0.77,0.32,0.32,0.67,0.51,0.44,0.63
196,32.75,16.29,32.23,24.20,17.58,27.72,8.26,4.02,13.27,16.38,10.46,26.79,95.46,51.48,91.85,72.96,55.87,82.03,27.43,12.45,44.27,53.03,34.69,77.70,"5,743.76","4,071.55","5,674.03","4,880.18","4,328.30","5,184.05","2,187.70","1,013.88","3,462.98","4,052.11","2,800.61","5,052.50",131.72,82.75,127.31,107.03,87.97,117.39,43.91,18.93,69.14,83.92,55.52,112.49,109.41,56.74,102.35,81.91,59.71,90.69,28.38,12.27,45.44,55.42,35.89,89.55,168.89,122.28,165.32,145.32,128.33,154.05,64.41,31.52,103.95,122.47,80.76,152.40,70.09,46.30,68.31,56.35,49.52,61.82,25.01,10.72,39.16,45.27,30.15,60.94,0.72,0.51,0.71,0.60,0.54,0.66,0.28,0.12,0.43,0.50,0.34,0.63
197,27.43,15.90,19.97,29.81,13.06,28.41,7.88,10.21,15.30,12.12,5.36,21.38,77.44,52.56,61.22,83.73,42.07,81.93,25.14,33.09,48.82,38.98,16.16,67.13,"5,077.75","4,166.15","4,394.54","5,407.69","3,290.29","5,259.64","2,025.77","2,634.75","3,853.54","3,120.49","1,389.17","4,682.14",115.39,83.95,94.58,122.97,65.54,119.73,38.21,52.45,79.66,62.19,28.28,97.12,89.33,54.18,63.05,96.48,43.01,94.18,24.97,34.37,50.02,40.10,17.85,70.49,154.44,124.30,129.93,158.62,98.56,158.83,60.13,79.50,118.12,94.38,41.44,137.16,60.84,47.21,49.95,63.75,37.32,63.17,21.66,29.00,44.14,34.81,15.56,54.23,0.65,0.51,0.55,0.67,0.42,0.66,0.25,0.33,0.49,0.40,0.17,0.57
198,32.80,31.51,32.69,34.52,35.74,44.09,12.38,15.09,12.83,14.32,12.77,34.40,92.67,89.69,91.29,100.35,98.06,120.91,38.91,49.37,40.51,46.21,41.44,100.21,"5,659.68","5,538.30","5,762.64","6,006.42","6,027.01","6,822.32","3,104.27","3,828.00","3,317.95","3,629.80","3,285.00","6,005.06",131.80,129.27,132.66,136.62,140.69,164.77,63.53,76.66,66.18,72.23,65.97,138.35,106.50,101.49,107.26,112.72,117.16,143.75,40.94,50.05,43.70,47.94,43.09,114.67,166.45,164.15,167.35,176.35,177.71,201.90,93.23,117.57,97.63,110.71,99.35,175.57,67.44,65.94,68.33,71.79,72.27,83.54,35.72,44.62,36.53,41.53,36.88,72.34,0.71,0.71,0.71,0.75,0.75,0.85,0.39,0.49,0.40,0.46,0.40,0.75
199,29.42,31.86,28.33,36.59,36.35,24.50,11.11,5.90,3.50,23.93,12.03,28.38,83.79,89.41,81.42,103.79,100.71,73.22,36.08,17.74,12.00,70.44,40.49,83.72,"5,413.47","5,674.27","5,270.04","6,221.69","6,009.32","4,989.94","2,878.93","1,528.52",400.00,"4,765.48","3,150.21","5,280.71",121.18,130.42,118.45,142.51,139.95,110.02,58.55,28.25,5.00,105.52,64.13,116.92,95.11,105.40,91.95,119.57,119.39,80.89,37.64,19.66,4.00,76.06,41.98,94.76,159.06,166.71,159.50,183.31,179.43,145.53,85.49,45.17,20.00,141.27,96.28,158.69,65.17,67.98,64.07,75.48,74.37,58.96,31.62,16.16,4.00,55.80,36.31,63.38,0.68,0.71,0.67,0.77,0.76,0.62,0.36,0.18,0.02,0.61,0.39,0.66
200,34.30,14.85,18.38,51.97,28.30,33.92,11.16,20.49,18.33,19.28,9.27,28.26,97.37,48.37,58.40,143.88,80.82,95.56,36.92,62.32,59.14,58.86,30.29,81.78,"5,867.55","3,745.34","4,256.27","7,676.94","5,342.82","5,912.07","2,953.91","4,437.12","4,322.88","4,420.26","2,395.20","5,249.83",137.91,77.63,88.50,189.53,118.49,136.48,57.64,93.03,91.36,89.23,49.45,114.33,112.74,49.93,60.78,168.97,95.25,111.43,39.26,66.78,64.01,63.51,31.70,88.34,173.05,115.79,127.05,224.31,155.64,175.05,87.15,132.70,127.18,129.08,74.35,154.10,70.81,42.83,49.10,94.78,63.81,70.16,32.96,51.31,49.76,49.03,27.05,61.20,0.74,0.49,0.54,0.96,0.66,0.73,0.38,0.55,0.54,0.54,0.31,0.65
201,52.11,27.18,36.07,38.17,40.43,29.52,20.69,15.36,15.34,18.54,9.42,42.90,139.95,78.25,102.44,107.37,114.17,83.80,61.94,47.95,48.74,56.42,31.56,117.94,"7,607.01","5,141.83","6,077.70","6,270.04","6,440.86","5,349.72","4,449.89","3,951.19","3,929.37","4,228.23","2,419.85","6,804.78",191.20,115.72,140.17,145.46,153.51,123.55,94.64,78.67,77.41,88.51,49.02,163.29,167.49,88.08,116.32,121.95,131.92,96.98,65.06,51.60,51.16,62.82,32.18,140.97,223.93,152.53,177.73,184.39,191.64,161.29,133.84,117.68,116.44,129.23,75.38,196.97,95.53,60.65,73.73,76.07,79.52,65.30,52.03,43.18,43.70,49.48,27.18,83.33,0.96,0.64,0.76,0.78,0.82,0.67,0.55,0.48,0.49,0.54,0.32,0.84
202,28.07,25.39,24.11,37.46,40.20,31.28,8.47,6.51,20.59,17.33,10.75,27.14,81.88,73.41,70.74,105.61,112.07,91.82,27.72,21.57,63.44,55.72,35.23,78.86,"5,270.55","4,952.94","4,873.22","6,198.26","6,466.91","5,596.75","2,258.77","1,679.39","4,519.38","4,127.01","2,779.19","5,124.49",116.09,109.42,103.79,145.50,155.24,129.24,44.12,34.84,94.86,85.68,54.00,112.50,89.39,82.29,78.62,120.82,134.71,105.51,29.26,22.12,70.28,56.98,36.56,89.30,156.34,146.97,141.34,183.74,191.16,166.08,67.92,51.12,137.09,125.40,82.55,153.57,62.22,57.99,55.53,74.15,79.82,67.49,25.45,19.04,52.75,48.13,30.73,59.93,0.64,0.62,0.60,0.77,0.82,0.70,0.27,0.22,0.57,0.53,0.35,0.64
203,19.27,18.89,27.10,21.14,47.24,11.11,8.49,3.94,14.68,12.42,7.29,18.96,61.07,58.20,78.37,63.15,130.88,35.11,26.53,12.00,48.68,39.97,22.40,55.80,"4,340.95","4,372.45","5,181.23","4,484.11","7,160.21","2,880.27","2,231.72","1,004.99","3,813.10","3,178.37","1,828.05","4,264.82",93.30,89.40,115.96,95.81,176.22,57.35,44.27,17.80,75.37,65.72,36.14,88.72,64.64,61.79,92.31,68.42,153.84,35.99,27.97,13.35,49.76,41.39,23.18,63.26,130.11,130.84,154.33,133.58,213.31,83.46,64.84,30.26,116.30,97.37,55.59,128.98,50.12,50.33,62.28,51.90,89.09,31.22,25.10,11.54,42.93,36.30,20.61,48.83,0.55,0.55,0.65,0.57,0.90,0.35,0.28,0.13,0.48,0.40,0.23,0.54
204,16.49,14.59,21.25,26.09,21.88,14.48,9.86,3.67,13.87,13.73,5.05,30.42,52.59,47.38,62.77,75.72,64.78,46.52,32.85,12.00,43.76,42.80,17.47,87.97,"4,163.10","3,727.80","4,548.86","4,955.86","4,561.14","3,756.37","2,648.17","1,016.81","3,562.94","3,425.70","1,372.38","5,419.64",82.62,76.25,94.86,109.02,100.09,74.53,51.80,19.59,69.46,70.39,25.80,124.41,53.84,48.78,67.71,82.88,69.88,48.94,33.64,11.89,46.72,46.21,18.33,98.86,121.76,114.97,136.34,147.67,136.32,112.51,79.85,27.28,107.22,105.24,39.33,164.19,45.70,42.40,51.89,58.23,53.86,41.64,29.40,11.43,39.88,38.64,15.62,65.49,0.51,0.47,0.56,0.63,0.57,0.47,0.32,0.13,0.45,0.43,0.17,0.69
205,37.24,31.80,25.56,36.21,50.60,23.39,12.11,12.62,32.54,15.26,9.53,33.88,107.00,90.91,75.38,102.78,139.37,71.61,39.69,40.74,95.63,48.04,30.14,96.73,"6,195.16","5,619.20","5,094.62","6,055.83","7,534.54","4,814.92","3,201.39","3,297.00","5,824.05","3,907.45","2,465.44","5,962.87",145.89,127.13,113.43,140.33,186.90,104.14,61.75,64.12,131.26,78.08,49.16,136.90,123.50,104.29,87.21,117.94,168.56,76.05,41.67,42.49,110.31,50.43,30.40,114.70,183.74,167.10,149.37,181.15,223.63,143.18,95.82,97.20,171.74,117.83,72.10,174.61,76.13,66.06,59.20,74.51,94.43,56.16,35.96,36.26,69.15,43.79,27.63,70.56,0.78,0.71,0.64,0.76,0.94,0.60,0.40,0.41,0.71,0.48,0.31,0.75
206,30.32,21.26,20.72,37.04,28.19,30.60,10.11,24.07,26.09,17.07,9.71,21.18,85.63,64.13,62.87,102.87,81.91,88.79,33.53,71.98,77.41,55.04,30.45,63.43,"5,391.64","4,507.24","4,559.18","6,053.02","5,357.52","5,640.52","2,610.21","4,941.24","5,026.84","4,217.92","2,466.11","4,564.54",123.88,97.87,96.66,143.73,119.40,129.63,53.53,107.10,109.44,85.85,48.29,94.28,100.81,72.29,70.34,121.40,95.42,100.59,35.19,79.96,87.05,58.06,32.60,69.57,159.99,138.59,134.11,182.52,158.56,166.44,78.05,146.73,152.12,126.70,75.72,135.28,65.08,52.26,53.16,74.06,63.50,66.37,30.57,56.80,59.97,48.10,28.19,52.69,0.68,0.56,0.56,0.76,0.67,0.71,0.34,0.62,0.64,0.52,0.31,0.57
207,57.29,28.93,48.10,42.76,43.87,41.92,13.78,6.33,31.45,19.61,11.47,27.52,154.76,84.61,133.27,115.88,121.56,117.65,44.01,19.94,92.67,60.46,38.35,79.81,"8,002.70","5,407.43","7,328.80","6,727.70","6,857.19","6,711.80","3,555.49","1,619.10","5,660.38","4,454.68","3,069.99","5,162.33",200.00,120.16,176.99,162.02,162.74,159.43,70.78,32.50,128.34,93.68,59.16,116.54,185.05,96.50,155.99,139.03,141.74,138.46,46.35,21.37,104.58,65.74,38.98,89.73,235.64,157.98,214.40,198.16,203.04,198.17,103.53,47.88,166.15,130.26,89.91,153.29,100.00,63.69,89.78,81.44,84.62,81.82,39.50,17.12,67.18,50.85,33.75,60.33,1.02,0.67,0.91,0.84,0.85,0.83,0.44,0.19,0.71,0.56,0.37,0.65
208,46.63,33.58,37.63,41.88,57.66,23.49,15.50,9.54,23.22,19.22,14.21,42.00,128.63,94.33,107.03,115.93,153.42,71.51,49.22,31.10,69.72,58.41,47.38,115.02,"7,030.96","5,761.46","6,255.78","6,559.95","8,118.12","4,915.54","3,961.74","2,550.70","4,699.01","4,376.03","3,788.98","6,598.64",173.12,133.33,146.52,155.65,222.44,104.12,77.89,50.39,101.40,93.55,75.19,157.45,150.76,111.69,125.63,133.72,189.25,79.74,51.61,33.51,77.68,62.59,48.27,136.04,208.38,172.77,186.36,195.03,243.45,145.82,119.57,74.37,142.86,132.01,110.02,194.01,87.80,69.62,77.07,80.03,104.61,56.31,44.68,28.09,55.15,50.79,42.33,80.45,0.88,0.73,0.79,0.82,1.03,0.61,0.50,0.31,0.60,0.55,0.48,0.83
209,36.07,27.36,30.85,45.16,45.80,39.03,18.78,20.45,31.52,24.96,20.97,35.60,102.61,78.78,91.60,122.02,125.78,108.80,57.41,63.26,88.33,72.95,62.54,103.22,"6,131.85","5,158.48","5,553.02","6,893.04","6,987.52","6,346.06","4,300.60","4,501.78","5,608.19","4,990.63","4,611.35","6,115.18",142.92,114.84,128.81,169.33,167.35,152.73,89.58,93.31,127.73,106.98,97.40,142.99,120.26,89.80,104.34,144.90,149.48,129.65,62.24,68.32,99.80,81.44,69.73,118.64,181.15,154.67,166.99,205.01,203.70,189.51,129.32,133.13,165.05,147.04,134.48,178.33,74.57,61.57,67.10,85.81,86.09,77.54,50.14,52.13,67.33,57.23,52.79,73.95,0.77,0.65,0.70,0.87,0.87,0.80,0.55,0.57,0.70,0.62,0.57,0.76
210,36.54,12.61,27.67,14.32,39.74,13.94,10.50,10.34,20.02,11.93,4.81,12.80,105.05,41.03,82.01,46.16,110.83,44.94,32.70,34.47,58.76,38.40,16.11,41.77,"6,123.69","3,201.44","5,202.61","3,728.20","6,426.78","3,621.56","2,640.40","2,761.15","4,388.13","3,041.49","1,288.83","3,329.79",143.31,63.84,117.78,74.65,152.99,72.18,52.65,56.12,91.96,61.34,24.54,65.47,119.28,42.79,92.41,47.65,130.01,46.42,35.00,34.87,64.74,38.99,17.07,42.04,183.02,98.59,154.21,112.78,187.46,109.20,81.22,83.99,133.01,91.70,39.39,96.96,75.75,36.27,61.96,42.40,78.51,40.33,30.33,30.38,51.02,33.16,15.11,36.69,0.78,0.41,0.65,0.46,0.81,0.44,0.33,0.35,0.55,0.37,0.17,0.41
211,32.25,11.99,23.53,23.81,31.92,24.65,6.71,9.72,14.21,16.16,6.82,19.52,93.75,38.13,70.82,71.92,91.48,74.43,21.05,32.28,46.63,51.47,21.63,59.30,"5,657.18","3,069.10","4,734.90","4,841.16","5,555.14","4,955.81","1,731.63","2,523.06","3,654.92","4,000.00","1,775.58","4,399.14",132.45,60.83,104.28,106.88,129.67,106.25,33.42,51.22,73.38,80.08,33.53,93.78,106.96,39.56,75.24,76.45,105.48,80.07,22.07,33.67,48.65,52.00,21.58,64.62,168.14,90.95,144.06,144.68,164.74,144.71,52.90,74.66,110.30,120.00,53.59,131.01,68.13,33.86,55.27,56.98,66.69,57.51,19.13,27.79,41.53,45.00,19.68,50.95,0.71,0.38,0.60,0.60,0.69,0.61,0.22,0.31,0.47,0.50,0.22,0.55
212,50.15,31.63,26.87,49.65,37.00,40.49,14.17,13.46,24.61,15.29,11.36,41.19,137.63,91.48,79.82,136.22,101.33,112.66,45.05,43.62,73.79,50.00,36.96,114.93,"7,535.40","5,589.44","5,186.95","7,389.38","6,180.19","6,476.61","3,583.71","3,489.08","4,859.34","4,000.00","2,985.84","6,543.70",184.14,127.32,115.04,180.43,141.65,153.86,73.52,68.96,105.52,79.52,59.26,155.00,166.69,102.51,88.94,163.10,119.75,133.17,46.41,45.48,82.20,51.69,39.51,133.52,220.19,167.36,153.21,218.27,179.88,193.26,110.31,105.22,144.22,118.70,90.32,192.55,93.52,68.31,61.39,91.57,74.05,79.33,41.51,38.50,58.24,44.91,33.47,80.88,0.94,0.70,0.65,0.92,0.77,0.82,0.45,0.43,0.61,0.50,0.37,0.82
213,58.96,49.31,39.06,69.10,47.20,49.05,22.71,43.03,38.30,41.96,18.07,3.50,158.55,134.86,109.11,174.66,128.86,134.77,70.39,117.58,108.09,117.20,59.34,12.00,"8,289.44","7,327.45","6,427.65","8,881.97","7,127.48","7,330.12","4,771.40","6,708.60","6,333.87","6,627.19","4,250.32",400.00,229.37,179.79,150.25,316.94,175.73,180.17,102.62,161.72,148.36,158.12,90.26,5.00,186.92,160.87,127.19,208.03,155.05,158.05,77.06,138.95,125.03,134.67,61.07,4.00,237.49,217.19,190.75,256.78,211.72,217.10,141.15,199.98,186.55,197.29,127.67,20.00,104.24,91.60,77.29,114.99,87.87,91.27,55.37,83.07,76.52,82.08,50.33,4.00,1.02,0.92,0.80,1.14,0.90,0.92,0.61,0.84,0.80,0.82,0.53,0.02
214,43.03,42.16,45.63,44.00,45.52,40.67,30.75,34.11,51.91,32.65,20.59,57.91,116.73,117.67,122.90,119.23,125.91,113.70,87.27,96.08,141.15,92.53,61.94,158.07,"6,680.48","6,602.23","6,964.76","6,853.86","7,135.79","6,557.99","5,507.50","5,808.27","7,654.84","5,750.91","4,563.78","8,339.42",163.34,160.98,168.45,164.07,171.73,154.25,126.43,135.42,190.54,132.45,98.56,222.31,137.98,135.55,148.35,142.07,149.36,130.81,101.21,110.85,166.56,106.81,67.32,185.23,198.54,195.29,203.34,202.37,208.91,190.99,162.25,171.90,226.43,169.45,133.77,241.92,82.48,81.81,86.49,83.84,88.16,79.07,65.17,70.50,95.67,68.80,51.90,105.92,0.83,0.83,0.87,0.84,0.88,0.82,0.68,0.73,0.95,0.71,0.57,1.04
215,50.33,49.92,68.41,69.59,61.69,56.10,32.88,44.68,46.38,52.23,20.55,45.55,135.48,135.10,179.74,180.62,166.67,153.33,93.14,121.70,125.12,141.21,62.35,122.54,"7,501.68","7,453.48","8,964.59","8,971.68","8,501.31","8,028.74","5,693.40","6,938.47","7,060.63","7,750.06","4,535.14","6,947.39",182.62,184.94,347.22,312.70,276.52,214.72,134.11,167.95,171.33,191.64,96.82,168.17,163.55,162.24,208.77,209.97,195.02,180.00,109.12,145.48,149.08,170.44,69.56,147.15,220.45,219.37,261.11,257.04,250.97,235.00,168.16,202.11,208.98,224.69,135.87,205.91,92.29,92.50,116.81,115.39,110.55,103.14,67.93,85.38,86.56,96.19,52.92,86.02,0.93,0.93,1.15,1.15,1.07,1.02,0.73,0.86,0.89,0.97,0.56,0.88
216,70.28,55.37,71.16,60.34,65.26,63.96,22.98,20.23,47.47,33.30,39.35,52.56,182.31,148.88,177.17,167.35,175.05,164.08,68.26,60.48,129.66,96.17,110.11,144.16,"9,253.97","7,998.04","9,047.70","8,594.51","8,744.45","8,458.39","4,738.92","4,459.20","7,255.05","5,761.42","6,440.57","7,784.84",355.68,198.78,337.52,256.25,316.77,277.37,101.11,93.25,175.25,134.40,152.98,192.71,221.64,178.39,209.92,193.26,207.04,196.05,73.22,65.28,152.03,110.94,129.45,174.63,263.78,235.00,260.36,244.21,253.38,246.07,138.88,134.88,212.59,171.44,190.97,229.20,117.92,100.00,116.59,106.94,114.50,108.96,55.27,52.03,89.01,69.23,78.42,95.84,1.17,1.00,1.16,1.09,1.11,1.07,0.58,0.56,0.89,0.72,0.81,0.97
217,23.02,18.89,17.97,29.87,3.50,22.10,9.49,3.50,29.69,13.81,7.34,17.91,70.48,57.44,56.49,87.13,12.00,63.97,29.96,12.00,86.62,44.57,23.37,53.57,"4,753.65","4,385.24","4,234.00","5,483.88",400.00,"4,617.47","2,532.13",400.00,"5,383.85","3,469.92","1,981.07","4,156.62",104.12,92.79,87.78,125.49,5.00,99.57,50.31,5.00,121.73,69.24,38.23,84.61,74.94,62.81,62.18,97.54,4.00,71.16,32.51,4.00,96.67,45.61,24.95,59.58,141.67,131.17,129.27,164.91,20.00,137.45,74.44,20.00,159.20,103.63,58.23,127.15,56.08,49.85,47.97,66.03,4.00,52.78,27.75,4.00,64.91,38.58,21.97,48.39,0.60,0.55,0.53,0.68,0.02,0.57,0.30,0.02,0.67,0.44,0.24,0.53
218,31.26,17.39,18.79,3.50,38.34,21.39,8.78,9.97,13.88,3.50,5.84,33.28,89.72,53.06,56.18,12.00,106.42,63.53,27.88,31.32,44.12,12.00,19.50,94.99,"5,648.94","4,224.07","4,313.29",400.00,"6,248.93","4,483.00","2,259.99","2,498.70","3,559.90",400.00,"1,545.09","5,825.88",126.25,85.33,89.47,5.00,147.30,95.88,45.11,49.94,70.28,5.00,31.74,133.74,103.50,56.26,60.17,4.00,124.33,70.48,29.32,33.49,46.09,4.00,19.59,111.11,166.64,124.12,128.91,20.00,184.33,136.86,70.95,74.34,107.35,20.00,46.26,171.18,66.36,47.11,49.65,4.00,75.61,51.41,25.38,28.55,40.50,4.00,17.00,69.47,0.69,0.51,0.54,0.02,0.79,0.56,0.29,0.31,0.45,0.02,0.20,0.73
219,52.30,23.18,40.67,45.22,43.58,38.12,11.87,18.30,41.86,29.17,12.45,31.67,140.67,71.98,115.93,122.98,120.29,108.61,37.39,55.76,117.81,82.87,40.60,91.14,"7,637.53","4,786.16","6,614.55","6,997.13","6,885.59","6,336.93","3,008.95","4,248.59","6,714.67","5,297.23","3,122.49","5,664.81",190.40,105.77,159.78,170.34,164.49,150.22,59.72,88.14,158.16,119.26,62.67,127.61,168.81,77.35,136.15,146.56,142.01,123.15,38.58,60.67,135.54,95.17,40.70,105.70,225.28,144.20,195.54,205.02,203.05,186.68,88.84,126.20,195.80,156.89,94.75,164.72,95.58,55.97,80.48,86.68,84.24,75.61,33.77,48.65,81.77,63.43,35.88,66.66,0.96,0.61,0.82,0.87,0.85,0.78,0.38,0.53,0.83,0.67,0.40,0.70
220,56.84,39.61,37.53,39.03,24.97,32.25,13.29,15.14,19.30,14.96,9.23,45.22,156.51,110.38,104.62,111.56,73.71,91.18,43.53,49.33,60.26,48.99,29.32,126.60,"8,053.77","6,497.92","6,165.37","6,466.08","4,902.81","5,687.05","3,505.48","3,990.71","4,490.06","3,894.66","2,452.46","6,980.55",236.24,152.67,147.98,154.52,108.25,128.68,70.59,78.95,94.49,79.19,48.37,170.28,187.33,128.63,121.32,129.85,82.84,107.77,44.55,52.00,64.15,51.04,31.20,147.67,238.49,188.79,184.42,190.54,147.90,167.41,102.95,117.73,130.74,115.06,70.11,206.46,102.95,77.82,74.92,79.11,58.27,68.57,39.09,44.26,50.68,44.65,27.69,87.33,1.02,0.81,0.77,0.81,0.61,0.71,0.44,0.50,0.55,0.49,0.30,0.88
221,48.71,14.39,37.67,41.25,46.95,41.12,12.16,16.72,34.82,21.40,9.09,24.15,130.21,47.49,105.61,112.90,129.11,111.06,37.95,54.52,98.35,63.87,29.95,73.39,"7,330.83","3,713.54","6,242.73","6,644.13","7,163.54","6,438.53","3,073.70","4,143.84","5,988.75","4,567.10","2,402.83","4,847.03",176.53,76.86,146.24,155.50,173.23,153.23,60.65,84.28,139.60,95.34,48.14,109.60,155.11,48.31,122.31,132.95,150.29,131.95,39.29,55.40,115.61,67.22,31.88,81.00,215.74,113.25,184.18,194.34,208.51,192.46,94.74,123.33,174.80,136.77,70.77,146.51,89.18,42.38,75.14,80.85,88.93,78.75,34.10,47.59,71.86,52.46,27.06,57.30,0.91,0.47,0.78,0.82,0.89,0.81,0.39,0.52,0.75,0.58,0.30,0.62
222,42.78,25.10,26.58,45.34,40.76,37.47,13.81,13.72,46.23,17.57,12.97,26.50,118.94,73.25,79.30,124.72,113.29,103.83,44.22,44.02,128.66,54.05,41.24,77.66,"6,803.47","4,955.23","5,134.39","6,850.90","6,524.24","6,170.71","3,545.76","3,582.30","7,144.08","4,103.73","3,373.86","5,217.13",164.20,107.11,113.02,165.82,157.73,142.71,69.14,69.33,175.75,86.40,65.59,113.74,141.61,81.47,90.28,146.73,132.40,120.12,45.84,44.89,150.44,57.34,43.83,88.32,201.36,148.76,153.63,204.13,193.26,181.61,105.17,106.78,210.43,125.83,99.50,154.18,83.55,57.60,61.79,85.93,79.96,74.33,40.30,40.35,88.59,47.63,37.17,61.72,0.86,0.61,0.64,0.87,0.82,0.78,0.44,0.44,0.89,0.53,0.42,0.65
223,27.31,14.64,24.15,46.78,34.14,24.52,11.03,39.54,18.54,15.02,12.80,39.42,78.97,47.90,72.32,125.99,98.57,72.86,35.83,111.82,55.70,48.62,41.38,108.77,"5,201.27","3,823.39","4,870.93","7,053.73","5,867.65","4,877.86","2,841.60","6,455.42","4,306.26","3,770.20","3,278.18","6,352.84",117.05,75.71,106.71,174.21,137.55,107.82,55.02,154.00,88.20,75.93,66.12,149.39,89.79,48.74,81.95,151.25,114.28,83.02,37.58,132.12,59.19,50.22,42.23,128.28,154.54,114.35,147.23,208.98,175.10,147.13,86.31,191.66,128.33,115.74,99.16,189.69,61.18,42.61,56.39,87.60,71.22,57.35,31.81,78.81,48.21,42.83,37.44,77.79,0.65,0.46,0.60,0.88,0.74,0.62,0.35,0.81,0.53,0.47,0.41,0.80
224,26.73,20.93,24.20,38.66,34.29,30.89,6.45,8.82,21.77,13.23,8.38,16.01,80.99,61.38,74.20,110.30,95.07,85.92,19.98,27.23,63.87,42.89,26.51,50.00,"5,134.66","4,430.53","4,968.58","6,364.66","5,788.47","5,544.61","1,632.03","2,256.05","4,588.63","3,404.47","2,142.31","4,027.78",115.27,95.83,106.95,152.02,135.53,126.88,31.90,45.07,98.02,67.02,43.04,82.04,90.46,68.54,83.97,127.37,110.46,98.80,21.73,29.58,71.61,43.59,27.48,53.96,154.03,132.50,147.27,188.91,171.96,164.34,50.08,67.36,135.73,101.51,66.43,120.00,61.78,50.89,56.93,77.74,69.87,66.59,18.32,25.06,52.77,37.85,23.88,46.01,0.65,0.56,0.62,0.80,0.74,0.70,0.21,0.27,0.57,0.42,0.27,0.51
225,34.07,11.64,26.62,32.00,40.44,32.07,10.91,10.53,33.49,11.43,5.98,20.35,97.66,36.36,78.24,89.24,114.94,90.51,35.38,33.66,97.23,37.36,19.72,59.77,"5,817.26","2,946.84","5,212.85","5,589.72","6,593.54","5,630.41","2,745.67","2,825.99","5,896.75","2,895.74","1,585.33","4,502.83",137.13,60.01,116.06,130.37,154.62,127.12,56.55,56.20,136.31,60.07,32.84,91.82,112.47,39.18,90.45,102.35,134.09,102.85,36.54,35.21,110.61,39.36,21.27,65.22,174.57,89.63,151.89,165.87,194.95,165.44,84.35,82.61,171.55,86.83,48.02,134.47,70.56,33.26,60.33,67.01,79.14,67.09,31.85,30.98,70.04,33.59,17.56,50.11,0.74,0.37,0.65,0.71,0.82,0.70,0.35,0.35,0.74,0.37,0.20,0.55
226,33.92,16.27,53.48,32.10,47.47,36.51,11.51,15.04,39.39,20.28,13.31,32.95,97.18,53.75,144.80,91.33,128.78,102.99,35.46,49.02,107.65,60.59,42.91,94.08,"5,880.15","4,122.52","7,783.76","5,708.98","7,201.42","6,175.34","2,968.39","3,980.09","6,307.94","4,458.81","3,470.42","5,737.28",132.91,80.82,193.57,129.43,175.86,145.69,56.97,77.55,149.52,92.46,69.89,133.24,109.77,53.78,170.59,105.02,154.01,118.14,37.63,51.67,128.21,69.30,44.75,106.90,170.92,121.85,227.83,169.20,212.09,180.59,86.71,115.85,186.94,131.85,102.69,170.18,70.17,46.39,96.55,67.66,88.13,73.60,32.38,43.81,76.85,51.63,37.96,69.57,0.72,0.52,0.96,0.71,0.89,0.76,0.36,0.49,0.80,0.57,0.43,0.72
